,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
40225,20210125,OI0001,664671273928573425,664671274000000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,50,47,32,79,18,8,18,28,83,18,9808.0,116954,11451859060.0,4.0,392320.0,0.16128199999911885,EsunnyL2,20210125
40226,20210125,OI0001,664671274178664557,664671274250000000,9808.0,9807.0,9806.0,9805.0,9804.0,9810.0,9811.0,9812.0,9813.0,9814.0,52,47,32,79,18,20,28,83,18,9,9809.0,116962,11452643780.0,0.0,11452643780.0,-0.09154900000066846,EsunnyL2,20210125
40229,20210125,OI0001,664671274428805723,664671274500000000,9809.0,9808.0,9807.0,9806.0,9805.0,9810.0,9811.0,9812.0,9813.0,9814.0,2,52,48,32,79,19,28,83,18,9,9809.0,116962,11452643780.0,0.0,11452643780.0,0.14475599999968836,EsunnyL2,20210125
40230,20210125,OI0001,664671274678914317,664671274750000000,9809.0,9808.0,9807.0,9806.0,9805.0,9810.0,9811.0,9812.0,9813.0,9814.0,3,52,48,32,79,19,28,83,18,9,9809.0,116962,11452643780.0,0.0,11452643780.0,0.08342000000084226,EsunnyL2,20210125
40232,20210125,OI0001,664671274928957261,664671275000000000,9809.0,9811.0,9810.0,9809.0,9808.0,9810.0,9814.0,9815.0,9816.0,9817.0,1,35,94,26,23,19,18,41,11,13,9809.0,116964,11453114880.0,2.0,471100.0,-0.04785500000070897,EFH_SF,20210125
40234,20210125,OI0001,664671275429360451,664671275500000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,54,48,32,79,18,54,9,30,83,18,9809.0,116965,11452938050.0,0.0,11452938050.0,-0.09451399999852583,EsunnyL2,20210125
40237,20210125,OI0001,664671275679492272,664671275750000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,53,48,32,79,18,55,9,30,83,18,9808.0,116966,11453036130.0,0.0,11453036130.0,-0.09861699999964912,EsunnyL2,20210125
40238,20210125,OI0001,664671276179563752,664671276250000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,53,48,32,79,18,52,9,30,83,18,9809.0,116969,11453330400.0,0.0,11453330400.0,0.09116200000062236,EsunnyL2,20210125
40241,20210125,OI0001,664671276679718464,664671276750000000,9808.0,9807.0,9806.0,9805.0,9804.0,9809.0,9810.0,9811.0,9812.0,9813.0,54,48,32,79,18,52,9,30,83,18,9809.0,116969,11453330400.0,0.0,-274080.0,0.20356200000060198,EsunnyL2,20210125
40242,20210125,OI0001,664671276929627429,664671277000000000,9808.0,9808.0,9807.0,9806.0,9805.0,9809.0,9811.0,9812.0,9813.0,9814.0,24,27,39,36,75,52,24,87,22,15,9808.0,116999,0.0,30.0,-11453330400.0,-0.17287799999940034,EFH_SF,20210125
