,DATETIME,LOG_TYPE,LOG_NAME,INSTRUMENT_ID,DIRECTION,LIMIT_PRICE,VOLUME,REF_ID,REM_ID,STATUS,FRONT_ID,SESSION_ID,ORDER_SYS_ID,STATUS_MSG,OF_FLAG,INSERT_TIME,ACTIVE_TIME,SUSPEND_TIME,UPDATE_TIME,CANCLE_TIME,LOCAL_ORDER_ACK_TIME,CURRENT_VOLUME,TRADED_VOLUME,TIME,TIME_IN_FORCE,SESSION,TYPE,MACHINE_TIMESTAMP_DATA,AS_OF_DATE
20,2021-01-22 21:00:01.928,ORDER_LOG,submitting order,OI105,SELL,9768.0,3,10004-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:01.928318720,GOOD_TILL_CANCEL,1,5.0,2021-01-22 21:00:01.928308864,20210125
21,2021-01-22 21:00:01.929,ORDER_LOG,"successful insert, updating live order",OI105,SELL,9768.0,3,10004-1,0,LIVE,0,10060,ON210125QV00000030,"""2021012500053695""",1,0.0,6.646644019283187e+17,0.0,0.0,0.0,2021-01-22 21:00:01.928960,3,,,,1,5.0,,20210125
22,2021-01-22 21:00:01.929,ORDER_LOG,Remove from submit order map,OI105,SELL,9768.0,3,10004-1,0,LIVE,0,10060,ON210125QV00000030,"""2021012500053695""",1,0.0,6.646644019283187e+17,0.0,0.0,0.0,2021-01-22 21:00:01.928960,3,,2021-01-22 21:00:01.928966400,,1,5.0,,20210125
23,2021-01-22 21:00:02.004,ORDER_LOG,liveOrderMap update.,OI105,SELL,9768.0,3,10004-1,0,LIVE,0,10060,ON210125QV00000030,"""2021012500053695""",1,0.0,6.646644019283187e+17,0.0,0.0,0.0,2021-01-22 21:00:02.003504,2,1.0,,,1,5.0,,20210125
24,2021-01-22 21:00:02.088,ORDER_LOG,Removing from Live Order Map,OI105,SELL,9768.0,3,10004-1,0,DEAD,0,10060,ON210125QV00000030,"""2021012500053695""",1,0.0,6.646644019283187e+17,0.0,0.0,0.0,2021-01-22 21:00:02.088551,0,,,,1,5.0,,20210125
25,2021-01-22 21:00:02.088,ORDER_LOG,liveOrderMap update.,OI105,SELL,9768.0,3,10004-1,0,LIVE,0,10060,ON210125QV00000030,"""2021012500053695""",1,0.0,6.646644019283187e+17,0.0,0.0,0.0,2021-01-22 21:00:02.088497,1,1.0,,,1,5.0,,20210125
26,2021-01-22 21:00:03.305,ORDER_LOG,submitting order,OI105,SELL,9767.0,3,10005-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:03.304241280,GOOD_TILL_CANCEL,1,5.0,2021-01-22 21:00:03.304235520,20210125
27,2021-01-22 21:00:03.308,ORDER_LOG,"successful insert, updating live order",OI105,SELL,9767.0,3,10005-1,0,LIVE,0,10060,ON210125QV00000043,"""2021012500059954""",1,0.0,6.646644033042413e+17,0.0,0.0,0.0,2021-01-22 21:00:03.307697,3,,,,1,5.0,,20210125
28,2021-01-22 21:00:03.308,ORDER_LOG,Remove from submit order map,OI105,SELL,9767.0,3,10005-1,0,LIVE,0,10060,ON210125QV00000043,"""2021012500059954""",1,0.0,6.646644033042413e+17,0.0,0.0,0.0,2021-01-22 21:00:03.307697,3,,2021-01-22 21:00:03.307704320,,1,5.0,,20210125
29,2021-01-22 21:00:03.340,ORDER_LOG,Removing from Live Order Map,OI105,SELL,9767.0,3,10005-1,0,DEAD,0,10060,ON210125QV00000043,"""2021012500059954""",1,0.0,6.646644033042413e+17,0.0,0.0,0.0,2021-01-22 21:00:03.339629,0,,,,1,5.0,,20210125
